,participant,task,condition,ntrials
0,0.0,mir,small,46.0
1,0.0,mir,lrg,30.0
2,1.0,mir,small,15.0
3,1.0,mir,lrg,59.0
4,2.0,mir,small,25.0
5,2.0,mir,lrg,54.0
6,3.0,mir,small,12.0
7,3.0,mir,lrg,63.0
8,4.0,mir,small,34.0
9,4.0,mir,lrg,39.0
10,5.0,mir,small,32.0
11,5.0,mir,lrg,42.0
12,6.0,mir,small,26.0
13,6.0,mir,lrg,34.0
14,7.0,mir,small,13.0
15,7.0,mir,lrg,66.0
16,8.0,mir,small,31.0
17,8.0,mir,lrg,35.0
18,9.0,mir,small,26.0
19,9.0,mir,lrg,44.0
20,10.0,mir,small,3.0
21,10.0,mir,lrg,31.0
22,11.0,mir,small,10.0
23,11.0,mir,lrg,60.0
24,12.0,mir,small,20.0
25,12.0,mir,lrg,39.0
26,13.0,mir,small,33.0
27,13.0,mir,lrg,44.0
28,14.0,mir,small,4.0
29,14.0,mir,lrg,50.0
30,15.0,mir,small,8.0
31,15.0,mir,lrg,50.0
32,16.0,mir,small,37.0
33,16.0,mir,lrg,45.0
34,17.0,mir,small,29.0
35,17.0,mir,lrg,42.0
36,18.0,mir,small,46.0
37,18.0,mir,lrg,31.0
38,19.0,mir,small,37.0
39,19.0,mir,lrg,45.0
40,20.0,mir,small,35.0
41,20.0,mir,lrg,35.0
42,21.0,mir,small,21.0
43,21.0,mir,lrg,45.0
44,22.0,mir,small,14.0
45,22.0,mir,lrg,41.0
46,23.0,mir,small,37.0
47,23.0,mir,lrg,42.0
48,24.0,mir,small,25.0
49,24.0,mir,lrg,40.0
50,25.0,mir,small,23.0
51,25.0,mir,lrg,54.0
52,26.0,mir,small,43.0
53,26.0,mir,lrg,34.0
54,27.0,mir,small,33.0
55,27.0,mir,lrg,44.0
56,28.0,mir,small,44.0
57,28.0,mir,lrg,30.0
58,29.0,mir,small,22.0
59,29.0,mir,lrg,42.0
60,30.0,mir,small,29.0
61,30.0,mir,lrg,50.0
62,31.0,mir,small,21.0
63,31.0,mir,lrg,60.0
